tiempo;kW;temperatura
2019-01-01 00:00:00;48;27,55
2019-01-01 01:00:00;49,488;26,75
2019-01-01 02:00:00;52,608;25,8
2019-01-01 03:00:00;57,84;24,65
2019-01-01 04:00:00;69,984;24,05
2019-01-01 05:00:00;69,168;24,1
2019-01-01 06:00:00;61,632;23,85
2019-01-01 07:00:00;57,936;23,75
2019-01-01 08:00:00;60,96;25,25
2019-01-01 09:00:00;67,872;26,5
2019-01-01 10:00:00;73,296;27,4
2019-01-01 11:00:00;83,28;28,65
2019-01-01 12:00:00;85,2;30
2019-01-01 13:00:00;87,072;31,2
2019-01-01 14:00:00;83,808;32,5
2019-01-01 15:00:00;87,984;33,5
2019-01-01 16:00:00;111,12;34,45
2019-01-01 17:00:00;108,816;35,25
2019-01-01 18:00:00;104,832;35,6
2019-01-01 19:00:00;91,104;35,45
2019-01-01 20:00:00;76,464;35,2
2019-01-01 21:00:00;79,968;34,35
2019-01-01 22:00:00;90,816;33,35
2019-01-01 23:00:00;94,8;32,7
2019-01-02 00:00:00;98,064;30,7
2019-01-02 01:00:00;104,256;30,1
2019-01-02 02:00:00;103,248;29,05
2019-01-02 03:00:00;105,264;28,1
2019-01-02 04:00:00;98,736;27,75
2019-01-02 05:00:00;94,08;27,55
2019-01-02 06:00:00;90,24;26,65
2019-01-02 07:00:00;75,168;25,7
2019-01-02 08:00:00;66,816;25,95
2019-01-02 09:00:00;61,104;26,4
2019-01-02 10:00:00;60,96;27,05
2019-01-02 11:00:00;63,792;28,15
2019-01-02 12:00:00;79,488;29,3
2019-01-02 13:00:00;99,408;30,15
2019-01-02 14:00:00;105,168;29,25
2019-01-02 15:00:00;103,008;28,5
2019-01-02 16:00:00;93,552;28,45
2019-01-02 17:00:00;84,096;27,7
2019-01-02 18:00:00;64,8;26,4
2019-01-02 19:00:00;39,648;25,95
2019-01-02 20:00:00;39,36;25,95
2019-01-02 21:00:00;43,248;25,5
2019-01-02 22:00:00;48,672;24,9
2019-01-02 23:00:00;48,432;24,55
2019-01-03 00:00:00;51,264;23,9
2019-01-03 01:00:00;51,408;23,3
2019-01-03 02:00:00;49,728;22,6
2019-01-03 03:00:00;50,736;22,35
2019-01-03 04:00:00;49,824;22,2
2019-01-03 05:00:00;48,72;21,75
2019-01-03 06:00:00;46,464;21,65
2019-01-03 07:00:00;32,544;21,35
2019-01-03 08:00:00;32,496;21
2019-01-03 09:00:00;29,088;21,35
2019-01-03 10:00:00;33,168;22,15
2019-01-03 11:00:00;36,096;23,65
2019-01-03 12:00:00;40,08;25,05
2019-01-03 13:00:00;55,872;25,6
2019-01-03 14:00:00;67,776;26,85
2019-01-03 15:00:00;72,624;27,95
2019-01-03 16:00:00;76,32;28,75
2019-01-03 17:00:00;83,856;29,4
2019-01-03 18:00:00;81,84;29,7
2019-01-03 19:00:00;69,12;29,95
2019-01-03 20:00:00;58,56;29,85
